gta06_hhld,age,total,Mode
5007,77,15,Transit (Excluding GO rail)
5012,19,62,Transit (Excluding GO rail)
5020,16,20,Transit (Excluding GO rail)
5032,20,50,Transit (Excluding GO rail)
5032,21,110,Transit (Excluding GO rail)
5032,22,99,Transit (Excluding GO rail)
5032,59,39,Transit (Excluding GO rail)
5040,51,87,Transit (Excluding GO rail)
5041,28,30,Transit (Excluding GO rail)
5044,15,30,Transit (Excluding GO rail)
5044,24,185,Transit (Excluding GO rail)
5044,45,55,Transit (Excluding GO rail)
5045,17,25,Transit (Excluding GO rail)
5045,31,45,Transit (Excluding GO rail)
5045,74,40,Transit (Excluding GO rail)
5046,15,25,Transit (Excluding GO rail)
5046,16,67,Transit (Excluding GO rail)
5046,19,32,Transit (Excluding GO rail)
5046,20,128,Transit (Excluding GO rail)
5046,21,39,Transit (Excluding GO rail)
5046,22,98,Transit (Excluding GO rail)
5046,24,128,Transit (Excluding GO rail)
5046,25,87,Transit (Excluding GO rail)
5046,36,60,Transit (Excluding GO rail)
5046,42,50,Transit (Excluding GO rail)
5046,57,39,Transit (Excluding GO rail)
5046,58,128,Transit (Excluding GO rail)
5047,22,126,Transit (Excluding GO rail)
5050,16,38,Transit (Excluding GO rail)
5050,17,136,Transit (Excluding GO rail)
5050,20,171,Transit (Excluding GO rail)
5050,21,105,Transit (Excluding GO rail)
5050,22,70,Transit (Excluding GO rail)
5050,23,76,Transit (Excluding GO rail)
5050,28,70,Transit (Excluding GO rail)
5050,43,74,Transit (Excluding GO rail)
5050,47,79,Transit (Excluding GO rail)
5050,53,62,Transit (Excluding GO rail)
5050,96,105,Transit (Excluding GO rail)
5051,16,59,Transit (Excluding GO rail)
5051,18,101,Transit (Excluding GO rail)
5051,33,119,Transit (Excluding GO rail)
5051,47,26,Transit (Excluding GO rail)
5051,56,39,Transit (Excluding GO rail)
5052,14,144,Transit (Excluding GO rail)
5052,19,93,Transit (Excluding GO rail)
5052,20,37,Transit (Excluding GO rail)
5052,64,44,Transit (Excluding GO rail)
5053,19,64,Transit (Excluding GO rail)
5053,20,69,Transit (Excluding GO rail)
5054,21,128,Transit (Excluding GO rail)
5056,12,92,Transit (Excluding GO rail)
5056,17,128,Transit (Excluding GO rail)
5056,20,64,Transit (Excluding GO rail)
5056,30,82,Transit (Excluding GO rail)
5056,48,128,Transit (Excluding GO rail)
5057,15,133,Transit (Excluding GO rail)
5057,16,133,Transit (Excluding GO rail)
5057,19,97,Transit (Excluding GO rail)
5057,21,97,Transit (Excluding GO rail)
5057,31,46,Transit (Excluding GO rail)
5057,38,50,Transit (Excluding GO rail)
5057,39,75,Transit (Excluding GO rail)
5057,52,44,Transit (Excluding GO rail)
5058,27,37,Transit (Excluding GO rail)
5058,93,41,Transit (Excluding GO rail)
5059,16,69,Transit (Excluding GO rail)
5059,21,155,Transit (Excluding GO rail)
5059,75,31,Transit (Excluding GO rail)
5060,59,122,Transit (Excluding GO rail)
5061,21,73,Transit (Excluding GO rail)
5063,14,98,Transit (Excluding GO rail)
5063,18,144,Transit (Excluding GO rail)
5063,21,40,Transit (Excluding GO rail)
5063,25,39,Transit (Excluding GO rail)
5063,49,58,Transit (Excluding GO rail)
5066,14,129,Transit (Excluding GO rail)
5066,16,184,Transit (Excluding GO rail)
5066,19,98,Transit (Excluding GO rail)
5066,21,165,Transit (Excluding GO rail)
5066,32,113,Transit (Excluding GO rail)
5066,36,143,Transit (Excluding GO rail)
5066,82,35,Transit (Excluding GO rail)
5067,21,53,Transit (Excluding GO rail)
5068,20,37,Transit (Excluding GO rail)
5068,21,111,Transit (Excluding GO rail)
5068,24,61,Transit (Excluding GO rail)
5068,25,48,Transit (Excluding GO rail)
5068,40,56,Transit (Excluding GO rail)
5068,59,63,Transit (Excluding GO rail)
5068,67,100,Transit (Excluding GO rail)
5068,78,76,Transit (Excluding GO rail)
5069,22,111,Transit (Excluding GO rail)
5069,23,136,Transit (Excluding GO rail)
5069,36,302,Transit (Excluding GO rail)
5069,56,50,Transit (Excluding GO rail)
5069,65,30,Transit (Excluding GO rail)
5071,18,99,Transit (Excluding GO rail)
5071,20,64,Transit (Excluding GO rail)
5071,27,35,Transit (Excluding GO rail)
5071,33,25,Transit (Excluding GO rail)
5073,45,31,Transit (Excluding GO rail)
5074,19,40,Transit (Excluding GO rail)
5074,22,175,Transit (Excluding GO rail)
5074,30,63,Transit (Excluding GO rail)
5074,50,73,Transit (Excluding GO rail)
5074,78,51,Transit (Excluding GO rail)
5075,14,61,Transit (Excluding GO rail)
5075,17,194,Transit (Excluding GO rail)
5075,18,50,Transit (Excluding GO rail)
5075,20,104,Transit (Excluding GO rail)
5075,22,121,Transit (Excluding GO rail)
5075,26,91,Transit (Excluding GO rail)
5075,46,163,Transit (Excluding GO rail)
5075,55,59,Transit (Excluding GO rail)
5076,19,19,Transit (Excluding GO rail)
5077,18,28,Transit (Excluding GO rail)
5077,88,54,Transit (Excluding GO rail)
5079,21,38,Transit (Excluding GO rail)
5079,52,38,Transit (Excluding GO rail)
5080,50,41,Transit (Excluding GO rail)
5081,19,95,Transit (Excluding GO rail)
5082,20,116,Transit (Excluding GO rail)
5082,21,129,Transit (Excluding GO rail)
5082,22,168,Transit (Excluding GO rail)
5082,34,37,Transit (Excluding GO rail)
5082,41,44,Transit (Excluding GO rail)
5082,44,67,Transit (Excluding GO rail)
5082,45,154,Transit (Excluding GO rail)
5082,47,93,Transit (Excluding GO rail)
5082,51,76,Transit (Excluding GO rail)
5082,80,51,Transit (Excluding GO rail)
5084,18,141,Transit (Excluding GO rail)
5084,19,228,Transit (Excluding GO rail)
5084,21,48,Transit (Excluding GO rail)
5084,22,37,Transit (Excluding GO rail)
5084,25,193,Transit (Excluding GO rail)
5084,46,37,Transit (Excluding GO rail)
5084,62,88,Transit (Excluding GO rail)
5086,19,53,Transit (Excluding GO rail)
5086,20,63,Transit (Excluding GO rail)
5086,29,45,Transit (Excluding GO rail)
5086,40,53,Transit (Excluding GO rail)
5087,21,56,Transit (Excluding GO rail)
5087,72,114,Transit (Excluding GO rail)
5089,26,73,Transit (Excluding GO rail)
5089,44,83,Transit (Excluding GO rail)
5089,60,58,Transit (Excluding GO rail)
5090,17,146,Transit (Excluding GO rail)
5090,26,20,Transit (Excluding GO rail)
5091,18,52,Transit (Excluding GO rail)
5091,22,214,Transit (Excluding GO rail)
5091,32,181,Transit (Excluding GO rail)
5092,42,74,Transit (Excluding GO rail)
5092,61,96,Transit (Excluding GO rail)
5092,71,33,Transit (Excluding GO rail)
5092,76,49,Transit (Excluding GO rail)
5093,20,25,Transit (Excluding GO rail)
5093,46,12,Transit (Excluding GO rail)
5093,52,54,Transit (Excluding GO rail)
5094,24,42,Transit (Excluding GO rail)
5094,49,127,Transit (Excluding GO rail)
5094,58,59,Transit (Excluding GO rail)
5094,73,53,Transit (Excluding GO rail)
5094,79,85,Transit (Excluding GO rail)
5094,80,85,Transit (Excluding GO rail)
5095,24,203,Transit (Excluding GO rail)
5095,39,218,Transit (Excluding GO rail)
5095,41,66,Transit (Excluding GO rail)
5095,49,66,Transit (Excluding GO rail)
5095,51,124,Transit (Excluding GO rail)
5095,68,31,Transit (Excluding GO rail)
5095,74,31,Transit (Excluding GO rail)
5095,75,79,Transit (Excluding GO rail)
5095,76,79,Transit (Excluding GO rail)
5095,77,40,Transit (Excluding GO rail)
5095,78,128,Transit (Excluding GO rail)
5096,15,41,Transit (Excluding GO rail)
5096,18,48,Transit (Excluding GO rail)
5096,52,102,Transit (Excluding GO rail)
5097,36,49,Transit (Excluding GO rail)
5097,47,209,Transit (Excluding GO rail)
5097,53,140,Transit (Excluding GO rail)
5098,14,116,Transit (Excluding GO rail)
5098,16,53,Transit (Excluding GO rail)
5098,18,369,Transit (Excluding GO rail)
5098,20,58,Transit (Excluding GO rail)
5099,15,114,Transit (Excluding GO rail)
5099,67,30,Transit (Excluding GO rail)
5099,77,25,Transit (Excluding GO rail)
5099,84,25,Transit (Excluding GO rail)
5100,17,18,Transit (Excluding GO rail)
5100,21,29,Transit (Excluding GO rail)
5100,24,113,Transit (Excluding GO rail)
5101,15,163,Transit (Excluding GO rail)
5101,35,155,Transit (Excluding GO rail)
5101,63,88,Transit (Excluding GO rail)
5102,33,105,Transit (Excluding GO rail)
5102,67,104,Transit (Excluding GO rail)
5104,18,101,Transit (Excluding GO rail)
5104,19,152,Transit (Excluding GO rail)
5104,24,80,Transit (Excluding GO rail)
5104,25,141,Transit (Excluding GO rail)
5104,38,45,Transit (Excluding GO rail)
5104,39,71,Transit (Excluding GO rail)
5104,40,146,Transit (Excluding GO rail)
5104,43,101,Transit (Excluding GO rail)
5104,45,141,Transit (Excluding GO rail)
5104,66,27,Transit (Excluding GO rail)
5104,82,80,Transit (Excluding GO rail)
5106,18,50,Transit (Excluding GO rail)
5106,19,58,Transit (Excluding GO rail)
5106,34,32,Transit (Excluding GO rail)
5106,47,65,Transit (Excluding GO rail)
5106,70,32,Transit (Excluding GO rail)
5106,86,29,Transit (Excluding GO rail)
5109,18,56,Transit (Excluding GO rail)
5110,23,108,Transit (Excluding GO rail)
5110,40,22,Transit (Excluding GO rail)
5110,70,45,Transit (Excluding GO rail)
5110,72,45,Transit (Excluding GO rail)
5110,75,21,Transit (Excluding GO rail)
5111,56,92,Transit (Excluding GO rail)
5111,66,34,Transit (Excluding GO rail)
5111,73,51,Transit (Excluding GO rail)
5111,74,51,Transit (Excluding GO rail)
5111,79,88,Transit (Excluding GO rail)
5111,84,41,Transit (Excluding GO rail)
5115,16,54,Transit (Excluding GO rail)
5115,20,73,Transit (Excluding GO rail)
5115,27,73,Transit (Excluding GO rail)
5115,29,21,Transit (Excluding GO rail)
5115,78,70,Transit (Excluding GO rail)
5116,14,126,Transit (Excluding GO rail)
5116,19,82,Transit (Excluding GO rail)
5116,20,362,Transit (Excluding GO rail)
5116,38,126,Transit (Excluding GO rail)
5116,58,50,Transit (Excluding GO rail)
5116,99,97,Transit (Excluding GO rail)
5117,21,82,Transit (Excluding GO rail)
5117,54,65,Transit (Excluding GO rail)
5118,47,57,Transit (Excluding GO rail)
5118,52,59,Transit (Excluding GO rail)
5118,55,102,Transit (Excluding GO rail)
5118,66,100,Transit (Excluding GO rail)
5118,67,28,Transit (Excluding GO rail)
5120,16,183,Transit (Excluding GO rail)
5120,82,39,Transit (Excluding GO rail)
5121,17,110,Transit (Excluding GO rail)
5121,82,41,Transit (Excluding GO rail)
5121,84,41,Transit (Excluding GO rail)
5123,20,118,Transit (Excluding GO rail)
5123,22,37,Transit (Excluding GO rail)
5123,24,22,Transit (Excluding GO rail)
5123,34,40,Transit (Excluding GO rail)
5123,38,112,Transit (Excluding GO rail)
5123,39,46,Transit (Excluding GO rail)
5123,57,88,Transit (Excluding GO rail)
5123,59,138,Transit (Excluding GO rail)
5123,64,67,Transit (Excluding GO rail)
5123,69,83,Transit (Excluding GO rail)
5125,60,52,Transit (Excluding GO rail)
5126,24,144,Transit (Excluding GO rail)
5127,19,199,Transit (Excluding GO rail)
5127,22,129,Transit (Excluding GO rail)
5127,50,49,Transit (Excluding GO rail)
5127,51,194,Transit (Excluding GO rail)
5127,56,91,Transit (Excluding GO rail)
5127,58,33,Transit (Excluding GO rail)
5127,66,40,Transit (Excluding GO rail)
5127,68,53,Transit (Excluding GO rail)
5127,69,38,Transit (Excluding GO rail)
5127,72,87,Transit (Excluding GO rail)
5127,86,77,Transit (Excluding GO rail)
5129,22,221,Transit (Excluding GO rail)
5129,36,38,Transit (Excluding GO rail)
5130,17,57,Transit (Excluding GO rail)
5130,20,276,Transit (Excluding GO rail)
5130,24,92,Transit (Excluding GO rail)
5130,59,37,Transit (Excluding GO rail)
5130,73,72,Transit (Excluding GO rail)
5130,79,83,Transit (Excluding GO rail)
5130,85,50,Transit (Excluding GO rail)
5131,17,87,Transit (Excluding GO rail)
5131,31,30,Transit (Excluding GO rail)
5131,43,77,Transit (Excluding GO rail)
5131,62,50,Transit (Excluding GO rail)
5131,64,75,Transit (Excluding GO rail)
5131,68,31,Transit (Excluding GO rail)
5131,69,92,Transit (Excluding GO rail)
5131,70,61,Transit (Excluding GO rail)
5131,82,43,Transit (Excluding GO rail)
5132,18,101,Transit (Excluding GO rail)
5132,23,18,Transit (Excluding GO rail)
5132,25,241,Transit (Excluding GO rail)
5132,27,18,Transit (Excluding GO rail)
5132,30,29,Transit (Excluding GO rail)
5132,56,74,Transit (Excluding GO rail)
5132,58,16,Transit (Excluding GO rail)
5132,63,25,Transit (Excluding GO rail)
5133,18,59,Transit (Excluding GO rail)
5133,20,93,Transit (Excluding GO rail)
5133,21,214,Transit (Excluding GO rail)
5133,23,146,Transit (Excluding GO rail)
5133,55,34,Transit (Excluding GO rail)
5133,83,60,Transit (Excluding GO rail)
5135,15,65,Transit (Excluding GO rail)
5135,16,65,Transit (Excluding GO rail)
5135,17,40,Transit (Excluding GO rail)
5135,22,44,Transit (Excluding GO rail)
5135,26,122,Transit (Excluding GO rail)
5135,31,57,Transit (Excluding GO rail)
5135,32,89,Transit (Excluding GO rail)
5135,43,25,Transit (Excluding GO rail)
5135,45,50,Transit (Excluding GO rail)
5135,75,31,Transit (Excluding GO rail)
5135,84,22,Transit (Excluding GO rail)
5137,18,176,Transit (Excluding GO rail)
5139,15,88,Transit (Excluding GO rail)
5139,16,89,Transit (Excluding GO rail)
5139,17,180,Transit (Excluding GO rail)
5139,18,331,Transit (Excluding GO rail)
5139,19,208,Transit (Excluding GO rail)
5139,22,110,Transit (Excluding GO rail)
5139,35,32,Transit (Excluding GO rail)
5139,45,44,Transit (Excluding GO rail)
5139,49,61,Transit (Excluding GO rail)
5139,53,30,Transit (Excluding GO rail)
5139,56,61,Transit (Excluding GO rail)
5139,62,39,Transit (Excluding GO rail)
5139,71,31,Transit (Excluding GO rail)
5139,73,23,Transit (Excluding GO rail)
5139,76,42,Transit (Excluding GO rail)
5139,85,31,Transit (Excluding GO rail)
5139,87,42,Transit (Excluding GO rail)
5139,89,42,Transit (Excluding GO rail)
5140,11,53,Transit (Excluding GO rail)
5140,15,21,Transit (Excluding GO rail)
5140,60,21,Transit (Excluding GO rail)
5140,87,60,Transit (Excluding GO rail)
5141,16,195,Transit (Excluding GO rail)
5141,20,177,Transit (Excluding GO rail)
5141,21,55,Transit (Excluding GO rail)
5141,29,35,Transit (Excluding GO rail)
5141,33,55,Transit (Excluding GO rail)
5143,22,159,Transit (Excluding GO rail)
5144,14,43,Transit (Excluding GO rail)
5144,15,44,Transit (Excluding GO rail)
5144,17,197,Transit (Excluding GO rail)
5144,33,102,Transit (Excluding GO rail)
5144,35,108,Transit (Excluding GO rail)
5144,36,55,Transit (Excluding GO rail)
5144,37,134,Transit (Excluding GO rail)
5144,43,46,Transit (Excluding GO rail)
5144,55,78,Transit (Excluding GO rail)
5144,59,68,Transit (Excluding GO rail)
5144,61,49,Transit (Excluding GO rail)
5144,66,74,Transit (Excluding GO rail)
5144,73,47,Transit (Excluding GO rail)
5148,14,201,Transit (Excluding GO rail)
5148,16,201,Transit (Excluding GO rail)
5148,17,237,Transit (Excluding GO rail)
5148,18,316,Transit (Excluding GO rail)
5148,19,149,Transit (Excluding GO rail)
5148,20,87,Transit (Excluding GO rail)
5148,25,120,Transit (Excluding GO rail)
5148,26,99,Transit (Excluding GO rail)
5148,27,102,Transit (Excluding GO rail)
5148,35,71,Transit (Excluding GO rail)
5148,42,53,Transit (Excluding GO rail)
5148,45,30,Transit (Excluding GO rail)
5148,50,33,Transit (Excluding GO rail)
5148,51,51,Transit (Excluding GO rail)
5148,55,45,Transit (Excluding GO rail)
5148,56,343,Transit (Excluding GO rail)
5148,58,37,Transit (Excluding GO rail)
5148,60,45,Transit (Excluding GO rail)
5148,61,49,Transit (Excluding GO rail)
5148,63,87,Transit (Excluding GO rail)
5148,65,81,Transit (Excluding GO rail)
5148,66,54,Transit (Excluding GO rail)
5148,70,41,Transit (Excluding GO rail)
5148,71,39,Transit (Excluding GO rail)
5148,73,41,Transit (Excluding GO rail)
5148,74,54,Transit (Excluding GO rail)
5148,76,59,Transit (Excluding GO rail)
5148,77,48,Transit (Excluding GO rail)
5148,78,45,Transit (Excluding GO rail)
5148,79,78,Transit (Excluding GO rail)
5148,81,69,Transit (Excluding GO rail)
5149,12,170,Transit (Excluding GO rail)
5149,30,49,Transit (Excluding GO rail)
5149,46,87,Transit (Excluding GO rail)
5149,53,87,Transit (Excluding GO rail)
5150,16,280,Transit (Excluding GO rail)
5150,23,125,Transit (Excluding GO rail)
5150,28,146,Transit (Excluding GO rail)
5150,36,280,Transit (Excluding GO rail)
5150,49,33,Transit (Excluding GO rail)
5150,50,155,Transit (Excluding GO rail)
5150,51,69,Transit (Excluding GO rail)
5150,55,118,Transit (Excluding GO rail)
5150,57,250,Transit (Excluding GO rail)
5150,60,83,Transit (Excluding GO rail)
5150,69,107,Transit (Excluding GO rail)
5151,19,184,Transit (Excluding GO rail)
5151,23,197,Transit (Excluding GO rail)
5151,25,92,Transit (Excluding GO rail)
5151,60,86,Transit (Excluding GO rail)
5151,64,48,Transit (Excluding GO rail)
5151,68,29,Transit (Excluding GO rail)
5151,72,53,Transit (Excluding GO rail)
5154,32,35,Transit (Excluding GO rail)
5154,33,89,Transit (Excluding GO rail)
5154,34,28,Transit (Excluding GO rail)
5154,51,72,Transit (Excluding GO rail)
5154,55,89,Transit (Excluding GO rail)
5155,27,20,Transit (Excluding GO rail)
5155,31,100,Transit (Excluding GO rail)
5155,32,76,Transit (Excluding GO rail)
5155,34,160,Transit (Excluding GO rail)
5155,40,15,Transit (Excluding GO rail)
5155,57,23,Transit (Excluding GO rail)
5155,72,194,Transit (Excluding GO rail)
5156,40,92,Transit (Excluding GO rail)
5156,86,18,Transit (Excluding GO rail)
5157,15,191,Transit (Excluding GO rail)
5157,18,166,Transit (Excluding GO rail)
5157,49,71,Transit (Excluding GO rail)
5157,50,73,Transit (Excluding GO rail)
5157,54,141,Transit (Excluding GO rail)
5157,55,65,Transit (Excluding GO rail)
5157,58,33,Transit (Excluding GO rail)
5157,62,101,Transit (Excluding GO rail)
5157,64,51,Transit (Excluding GO rail)
5158,15,91,Transit (Excluding GO rail)
5158,18,103,Transit (Excluding GO rail)
5158,19,68,Transit (Excluding GO rail)
5158,27,104,Transit (Excluding GO rail)
5158,51,162,Transit (Excluding GO rail)
5158,63,48,Transit (Excluding GO rail)
5158,72,34,Transit (Excluding GO rail)
5159,16,148,Transit (Excluding GO rail)
5159,28,69,Transit (Excluding GO rail)
5159,29,84,Transit (Excluding GO rail)
5159,30,19,Transit (Excluding GO rail)
5159,32,34,Transit (Excluding GO rail)
5159,52,76,Transit (Excluding GO rail)
5159,61,97,Transit (Excluding GO rail)
5159,62,80,Transit (Excluding GO rail)
5159,64,47,Transit (Excluding GO rail)
5159,67,79,Transit (Excluding GO rail)
5159,72,51,Transit (Excluding GO rail)
5161,29,98,Transit (Excluding GO rail)
