Sat Apr 03 2021 20:43:24 GMT-0400 (Eastern Daylight Time) - Run Time: 2080ms

Cross Tabulation Query Form - Trip - 2016 v1.1

Row: 2006 GTA zone of household - gta06_hhld
Column: Age of person - age
Table: Primary travel mode of trip - mode_prime


Filters:
Regional municipality of household - region_hhld In 6, 

Trip 2016
ROW : gta06_hhld
COLUMN : age

TABLE    : mode_prime (Transit excluding GO rail)

  gta06_hhld         age      total
        5007          77         15
        5012          19         62
        5020          16         20
        5032          20         50
        5032          21        110
        5032          22         99
        5032          59         39
        5040          51         87
        5041          28         30
        5044          15         30
        5044          24        185
        5044          45         55
        5045          17         25
        5045          31         45
        5045          74         40
        5046          15         25
        5046          16         67
        5046          19         32
        5046          20        128
        5046          21         39
        5046          22         98
        5046          24        128
        5046          25         87
        5046          36         60
        5046          42         50
        5046          57         39
        5046          58        128
        5047          22        126
        5050          16         38
        5050          17        136
        5050          20        171
        5050          21        105
        5050          22         70
        5050          23         76
        5050          28         70
        5050          43         74
        5050          47         79
        5050          53         62
        5050          96        105
        5051          16         59
        5051          18        101
        5051          33        119
        5051          47         26
        5051          56         39
        5052          14        144
        5052          19         93
        5052          20         37
        5052          64         44
        5053          19         64
        5053          20         69
        5054          21        128
        5056          12         92
        5056          17        128
        5056          20         64
        5056          30         82
        5056          48        128
        5057          15        133
        5057          16        133
        5057          19         97
        5057          21         97
        5057          31         46
        5057          38         50
        5057          39         75
        5057          52         44
        5058          27         37
        5058          93         41
        5059          16         69
        5059          21        155
        5059          75         31
        5060          59        122
        5061          21         73
        5063          14         98
        5063          18        144
        5063          21         40
        5063          25         39
        5063          49         58
        5066          14        129
        5066          16        184
        5066          19         98
        5066          21        165
        5066          32        113
        5066          36        143
        5066          82         35
        5067          21         53
        5068          20         37
        5068          21        111
        5068          24         61
        5068          25         48
        5068          40         56
        5068          59         63
        5068          67        100
        5068          78         76
        5069          22        111
        5069          23        136
        5069          36        302
        5069          56         50
        5069          65         30
        5071          18         99
        5071          20         64
        5071          27         35
        5071          33         25
        5073          45         31
        5074          19         40
        5074          22        175
        5074          30         63
        5074          50         73
        5074          78         51
        5075          14         61
        5075          17        194
        5075          18         50
        5075          20        104
        5075          22        121
        5075          26         91
        5075          46        163
        5075          55         59
        5076          19         19
        5077          18         28
        5077          88         54
        5079          21         38
        5079          52         38
        5080          50         41
        5081          19         95
        5082          20        116
        5082          21        129
        5082          22        168
        5082          34         37
        5082          41         44
        5082          44         67
        5082          45        154
        5082          47         93
        5082          51         76
        5082          80         51
        5084          18        141
        5084          19        228
        5084          21         48
        5084          22         37
        5084          25        193
        5084          46         37
        5084          62         88
        5086          19         53
        5086          20         63
        5086          29         45
        5086          40         53
        5087          21         56
        5087          72        114
        5089          26         73
        5089          44         83
        5089          60         58
        5090          17        146
        5090          26         20
        5091          18         52
        5091          22        214
        5091          32        181
        5092          42         74
        5092          61         96
        5092          71         33
        5092          76         49
        5093          20         25
        5093          46         12
        5093          52         54
        5094          24         42
        5094          49        127
        5094          58         59
        5094          73         53
        5094          79         85
        5094          80         85
        5095          24        203
        5095          39        218
        5095          41         66
        5095          49         66
        5095          51        124
        5095          68         31
        5095          74         31
        5095          75         79
        5095          76         79
        5095          77         40
        5095          78        128
        5096          15         41
        5096          18         48
        5096          52        102
        5097          36         49
        5097          47        209
        5097          53        140
        5098          14        116
        5098          16         53
        5098          18        369
        5098          20         58
        5099          15        114
        5099          67         30
        5099          77         25
        5099          84         25
        5100          17         18
        5100          21         29
        5100          24        113
        5101          15        163
        5101          35        155
        5101          63         88
        5102          33        105
        5102          67        104
        5104          18        101
        5104          19        152
        5104          24         80
        5104          25        141
        5104          38         45
        5104          39         71
        5104          40        146
        5104          43        101
        5104          45        141
        5104          66         27
        5104          82         80
        5106          18         50
        5106          19         58
        5106          34         32
        5106          47         65
        5106          70         32
        5106          86         29
        5109          18         56
        5110          23        108
        5110          40         22
        5110          70         45
        5110          72         45
        5110          75         21
        5111          56         92
        5111          66         34
        5111          73         51
        5111          74         51
        5111          79         88
        5111          84         41
        5115          16         54
        5115          20         73
        5115          27         73
        5115          29         21
        5115          78         70
        5116          14        126
        5116          19         82
        5116          20        362
        5116          38        126
        5116          58         50
        5116          99         97
        5117          21         82
        5117          54         65
        5118          47         57
        5118          52         59
        5118          55        102
        5118          66        100
        5118          67         28
        5120          16        183
        5120          82         39
        5121          17        110
        5121          82         41
        5121          84         41
        5123          20        118
        5123          22         37
        5123          24         22
        5123          34         40
        5123          38        112
        5123          39         46
        5123          57         88
        5123          59        138
        5123          64         67
        5123          69         83
        5125          60         52
        5126          24        144
        5127          19        199
        5127          22        129
        5127          50         49
        5127          51        194
        5127          56         91
        5127          58         33
        5127          66         40
        5127          68         53
        5127          69         38
        5127          72         87
        5127          86         77
        5129          22        221
        5129          36         38
        5130          17         57
        5130          20        276
        5130          24         92
        5130          59         37
        5130          73         72
        5130          79         83
        5130          85         50
        5131          17         87
        5131          31         30
        5131          43         77
        5131          62         50
        5131          64         75
        5131          68         31
        5131          69         92
        5131          70         61
        5131          82         43
        5132          18        101
        5132          23         18
        5132          25        241
        5132          27         18
        5132          30         29
        5132          56         74
        5132          58         16
        5132          63         25
        5133          18         59
        5133          20         93
        5133          21        214
        5133          23        146
        5133          55         34
        5133          83         60
        5135          15         65
        5135          16         65
        5135          17         40
        5135          22         44
        5135          26        122
        5135          31         57
        5135          32         89
        5135          43         25
        5135          45         50
        5135          75         31
        5135          84         22
        5137          18        176
        5139          15         88
        5139          16         89
        5139          17        180
        5139          18        331
        5139          19        208
        5139          22        110
        5139          35         32
        5139          45         44
        5139          49         61
        5139          53         30
        5139          56         61
        5139          62         39
        5139          71         31
        5139          73         23
        5139          76         42
        5139          85         31
        5139          87         42
        5139          89         42
        5140          11         53
        5140          15         21
        5140          60         21
        5140          87         60
        5141          16        195
        5141          20        177
        5141          21         55
        5141          29         35
        5141          33         55
        5143          22        159
        5144          14         43
        5144          15         44
        5144          17        197
        5144          33        102
        5144          35        108
        5144          36         55
        5144          37        134
        5144          43         46
        5144          55         78
        5144          59         68
        5144          61         49
        5144          66         74
        5144          73         47
        5148          14        201
        5148          16        201
        5148          17        237
        5148          18        316
        5148          19        149
        5148          20         87
        5148          25        120
        5148          26         99
        5148          27        102
        5148          35         71
        5148          42         53
        5148          45         30
        5148          50         33
        5148          51         51
        5148          55         45
        5148          56        343
        5148          58         37
        5148          60         45
        5148          61         49
        5148          63         87
        5148          65         81
        5148          66         54
        5148          70         41
        5148          71         39
        5148          73         41
        5148          74         54
        5148          76         59
        5148          77         48
        5148          78         45
        5148          79         78
        5148          81         69
        5149          12        170
        5149          30         49
        5149          46         87
        5149          53         87
        5150          16        280
        5150          23        125
        5150          28        146
        5150          36        280
        5150          49         33
        5150          50        155
        5150          51         69
        5150          55        118
        5150          57        250
        5150          60         83
        5150          69        107
        5151          19        184
        5151          23        197
        5151          25         92
        5151          60         86
        5151          64         48
        5151          68         29
        5151          72         53
        5154          32         35
        5154          33         89
        5154          34         28
        5154          51         72
        5154          55         89
        5155          27         20
        5155          31        100
        5155          32         76
        5155          34        160
        5155          40         15
        5155          57         23
        5155          72        194
        5156          40         92
        5156          86         18
        5157          15        191
        5157          18        166
        5157          49         71
        5157          50         73
        5157          54        141
        5157          55         65
        5157          58         33
        5157          62        101
        5157          64         51
        5158          15         91
        5158          18        103
        5158          19         68
        5158          27        104
        5158          51        162
        5158          63         48
        5158          72         34
        5159          16        148
        5159          28         69
        5159          29         84
        5159          30         19
        5159          32         34
        5159          52         76
        5159          61         97
        5159          62         80
        5159          64         47
        5159          67         79
        5159          72         51
        5161          29         98
        5161          35         55
        5161          38         58
        5161          43        170
        5161          52        110
        5162          29         56
        5163          16         58
        5163          39         58
        5163          45         81
        5163          58         48
        5163          61         96
        5163          64         96
        5163          66         79
        5163          84         30
        5164          13        123
        5164          15        276
        5164          21         72
        5164          22         39
        5164          23         75
        5164          25        163
        5164          30        183
        5164          31        184
        5164          38        185
        5164          41         99
        5164          52         52
        5164          54         19
        5164          55         96
        5164          56        170
